method,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,g_mean,mcc,tn,fp,fn,tp,status,roc_auc,pr_auc,dataset,scenario,strategy,strategy_group,threshold_source,seed
Borderline-SMOTE + RF,0.5,0.9904229848363927,0.5487932421560741,0.25,0.1,0.14285714285714285,0.997586484312148,0.31584592514581344,0.15392672231552698,1240.0,3.0,9.0,1.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,default_0.5,fixed_threshold,fixed,0
Borderline-SMOTE + RF,0.35000000000000003,0.9848363926576217,0.5459774738535801,0.09090909090909091,0.1,0.09523809523809523,0.9919549477071601,0.3149531628206264,0.08771089156925949,1233.0,10.0,9.0,1.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,train_best_f1,train_optimized,train,0
Borderline-SMOTE + RF,0.35000000000000003,0.9848363926576217,0.5459774738535801,0.09090909090909091,0.1,0.09523809523809523,0.9919549477071601,0.3149531628206264,0.08771089156925949,1233.0,10.0,9.0,1.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,train_best_g_mean,train_optimized,train,0
Borderline-SMOTE + RF,0.35000000000000003,0.9848363926576217,0.5459774738535801,0.09090909090909091,0.1,0.09523809523809523,0.9919549477071601,0.3149531628206264,0.08771089156925949,1233.0,10.0,9.0,1.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,train_best_youden,train_optimized,train,0
Borderline-SMOTE + RF,0.35000000000000003,0.9848363926576217,0.5459774738535801,0.09090909090909091,0.1,0.09523809523809523,0.9919549477071601,0.3149531628206264,0.08771089156925949,1233.0,10.0,9.0,1.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,train_best_mcc,train_optimized,train,0
Borderline-SMOTE + RF,0.27,0.9776536312849162,0.5919549477071601,0.09090909090909091,0.2,0.125,0.9839098954143202,0.44360114864917116,0.1245949083200248,1223.0,20.0,8.0,2.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,ghost_kappa,ghost,train,0
Borderline-SMOTE + RF,0.27,0.9776536312849162,0.5919549477071601,0.09090909090909091,0.2,0.125,0.9839098954143202,0.44360114864917116,0.1245949083200248,1223.0,20.0,8.0,2.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,ghost_f1,ghost,train,0
Borderline-SMOTE + RF,0.27,0.9776536312849162,0.5919549477071601,0.09090909090909091,0.2,0.125,0.9839098954143202,0.44360114864917116,0.1245949083200248,1223.0,20.0,8.0,2.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,ghost_g_mean,ghost,train,0
Borderline-SMOTE + RF,0.27,0.9776536312849162,0.5919549477071601,0.09090909090909091,0.2,0.125,0.9839098954143202,0.44360114864917116,0.1245949083200248,1223.0,20.0,8.0,2.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,ghost_youden,ghost,train,0
Borderline-SMOTE + RF,0.27,0.9776536312849162,0.5919549477071601,0.09090909090909091,0.2,0.125,0.9839098954143202,0.44360114864917116,0.1245949083200248,1223.0,20.0,8.0,2.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,ghost_mcc,ghost,train,0
Borderline-SMOTE + RF,0.08,0.9074221867517956,0.7053499597747386,0.04310344827586207,0.5,0.07936507936507936,0.910699919549477,0.6747962357443457,0.12608138043106393,1132.0,111.0,5.0,5.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,validation_best_f1,validation_optimized,validation,0
Borderline-SMOTE + RF,0.01,0.6536312849162011,0.7758246178600161,0.020361990950226245,0.9,0.03982300884955752,0.6516492357200322,0.7658226375264895,0.10272520659539572,810.0,433.0,1.0,9.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,validation_best_g_mean,validation_optimized,validation,0
Borderline-SMOTE + RF,0.05,0.8675179569034318,0.6852373290426388,0.030120481927710843,0.5,0.056818181818181816,0.8704746580852776,0.659725192063058,0.09723559009411463,1082.0,161.0,5.0,5.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,validation_best_youden,validation_optimized,validation,0
Borderline-SMOTE + RF,0.05,0.8675179569034318,0.6852373290426388,0.030120481927710843,0.5,0.056818181818181816,0.8704746580852776,0.659725192063058,0.09723559009411463,1082.0,161.0,5.0,5.0,ok,0.8361625100563154,0.08965193205248548,Abalone19,threshold_optimization,validation_best_mcc,validation_optimized,validation,0
ADASYN + RF,0.5,0.9896249002394254,0.498793242156074,0.0,0.0,0.0,0.997586484312148,0.0,-0.004394101216724049,1240.0,3.0,10.0,0.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,default_0.5,fixed_threshold,fixed,0
ADASYN + RF,0.34,0.9776536312849162,0.5919549477071601,0.09090909090909091,0.2,0.125,0.9839098954143202,0.44360114864917116,0.1245949083200248,1223.0,20.0,8.0,2.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,train_best_f1,train_optimized,train,0
