dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,seed
AID362 PubChem Bioassay,RF (balanced_subsample),0.5,0.5555555555555556,1.0,0.1111111111111111,0.2,0.3333333333333333,0.3312467191921439,0.8588292083552747,0.43967816813135785,0.9875389408099688,1266.0,0.0,16.0,2.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,Class weight LogisticRegression,0.5,0.6565297525013165,0.06796116504854369,0.3888888888888889,0.11570247933884298,0.5994995279766564,0.13549910869308804,0.7214762155520449,0.10548160827642813,0.9166666666666666,1170.0,96.0,11.0,7.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,Custom weighted log-loss LR,0.5,0.60202738283307,0.14814814814814814,0.2222222222222222,0.17777777777777778,0.46710278275150957,0.1672054105650933,0.7456117254695454,0.2080708841765868,0.971183800623053,1243.0,23.0,14.0,4.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,Random Oversampling + RF,0.5,0.6377040547656662,0.625,0.2777777777777778,0.38461538461538464,0.5264214439004262,0.4114902021475419,0.8283745831139195,0.38310188551035795,0.9875389408099688,1263.0,3.0,13.0,5.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,Random Undersampling + RF,0.5,0.6810163243812533,0.02771855010660981,0.7222222222222222,0.053388090349075976,0.6797685694829322,0.08839661147402769,0.7586229594523434,0.08348155255554356,0.6409657320872274,810.0,456.0,5.0,13.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,SMOTE + RF,0.5,0.6103212216956293,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.47103201617277124,0.380365493821871,0.8678471125153591,0.34439494317725605,0.9875389408099688,1264.0,2.0,14.0,4.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,Borderline-SMOTE + RF,0.5,0.5829383886255924,0.75,0.16666666666666666,0.2727272727272727,0.4080870231099649,0.3499481596679375,0.8452913814288221,0.40978531834275234,0.9875389408099688,1265.0,1.0,15.0,3.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,ADASYN + RF,0.5,0.5547656661400737,0.5,0.1111111111111111,0.18181818181818182,0.3330699327917381,0.23107688003470161,0.8384017904160084,0.3528109298087765,0.985981308411215,1264.0,2.0,16.0,2.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,SMOTE-Tomek + RF,0.5,0.6384939441811479,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.5268380814360851,0.47749940274535596,0.8398718623837107,0.3613852249768048,0.9890965732087228,1265.0,1.0,13.0,5.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,SMOTE-ENN + RF,0.5,0.6099262769878884,0.5714285714285714,0.2222222222222222,0.32,0.470845653349978,0.3510267004451356,0.8069817447779534,0.17819347630901022,0.9867601246105919,1263.0,3.0,14.0,4.0,ok,real_repeated_split,2
