dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,seed
Credit Card Fraud Detection,RF (balanced_subsample),0.5,0.9154936444739481,0.9389312977099237,0.831081081081081,0.8817204301075269,0.9115937319955841,0.8831740821641247,0.9481548932718404,0.8714602132009752,0.9996137776061234,85287.0,8.0,25.0,123.0,ok,real_repeated_split,1
Credit Card Fraud Detection,Class weight LogisticRegression,0.5,0.9447380949740408,0.06521739130434782,0.9121621621621622,0.12173128944995491,0.9441762953477575,0.24056314029300535,0.9889334392719703,0.8025678959220944,0.9772011750523741,83360.0,1935.0,13.0,135.0,ok,real_repeated_split,1
Credit Card Fraud Detection,Custom weighted log-loss LR,0.5,0.9187665067024935,0.8266666666666667,0.8378378378378378,0.8322147651006712,0.9151953039620002,0.831940476756017,0.9834532932604332,0.8257736552147277,0.9994148145547324,85269.0,26.0,24.0,124.0,ok,real_repeated_split,1
Credit Card Fraud Detection,Random Oversampling + RF,0.5,0.9154936444739481,0.9389312977099237,0.831081081081081,0.8817204301075269,0.9115937319955841,0.8831740821641247,0.9544971109804923,0.8793842401819512,0.9996137776061234,85287.0,8.0,25.0,123.0,ok,real_repeated_split,1
Credit Card Fraud Detection,Random Undersampling + RF,0.5,0.9486752257269286,0.0536623580101841,0.9256756756756757,0.10144390966308775,0.948396385803678,0.21916855933547436,0.9810572765743057,0.8077544197934534,0.9715950984867104,82879.0,2416.0,11.0,137.0,ok,real_repeated_split,1
Credit Card Fraud Detection,SMOTE + RF,0.5,0.9323269162825996,0.8767123287671232,0.8648648648648649,0.8707482993197279,0.9298829767468229,0.8705457687915904,0.975433471750665,0.8859114592481275,0.9995552590615966,85277.0,18.0,20.0,128.0,ok,real_repeated_split,1
Credit Card Fraud Detection,Borderline-SMOTE + RF,0.5,0.9289837099541655,0.9136690647482014,0.8581081081081081,0.8850174216027874,0.9262760832619852,0.8852610220199757,0.9642871401796309,0.8793417376107482,0.9996137776061234,85283.0,12.0,21.0,127.0,ok,real_repeated_split,1
Credit Card Fraud Detection,ADASYN + RF,0.5,0.9323327782909236,0.8827586206896552,0.8648648648648649,0.8737201365187713,0.9298884288631655,0.8735492167870197,0.968996511312884,0.8740725633490605,0.9995669627705019,85278.0,17.0,20.0,128.0,ok,real_repeated_split,1
Credit Card Fraud Detection,SMOTE-Tomek + RF,0.5,0.9390895350476803,0.8843537414965986,0.8783783783783784,0.8813559322033898,0.9371250238319025,0.8811558456748007,0.9826410486340729,0.875249530392841,0.9995903701883126,85278.0,17.0,18.0,130.0,ok,real_repeated_split,1
Credit Card Fraud Detection,SMOTE-ENN + RF,0.5,0.9323386402992476,0.8888888888888888,0.8648648648648649,0.8767123287671232,0.9298938809475414,0.8765838732772386,0.9598606901643423,0.8650821542256864,0.9995786664794073,85279.0,16.0,20.0,128.0,ok,real_repeated_split,1
Credit Card Fraud Detection,Balanced Bagging,0.5,0.9497010771836377,0.05761143818334735,0.9256756756756757,0.10847189231987332,0.9493971329670967,0.22736918660431407,0.9838611385287627,0.710758736472686,0.9736432475451471,83054.0,2241.0,11.0,137.0,ok,real_repeated_split,1
Credit Card Fraud Detection,Balanced Random Forest,0.5,0.9434740400169206,0.11759504862953139,0.8986486486486487,0.20797498045347929,0.9424085889223056,0.32271179885876095,0.982548484353983,0.8105482847536991,0.9881441428788783,84297.0,998.0,15.0,133.0,ok,real_repeated_split,1
Credit Card Fraud Detection,EasyEnsemble,0.5,0.9531047651790368,0.04708672086720867,0.9391891891891891,0.08967741935483871,0.9530031742611657,0.20632877936890504,0.9860397856089279,0.7977367416911866,0.9669721334690964,82482.0,2813.0,9.0,139.0,ok,real_repeated_split,1
Credit Card Fraud Detection,RUSBoost,0.5,0.9241824478796166,0.048327137546468404,0.8783783783783784,0.0916138125440451,0.9230466858105748,0.20202602582175588,0.9599807425104923,0.17469302534055547,0.9698278384420023,82735.0,2560.0,18.0,130.0,ok,real_repeated_split,1
Credit Card Fraud Detection,Baseline RF,0.5,0.9087075776755711,0.9029850746268657,0.8175675675675675,0.8581560283687943,0.9041255224151772,0.8589848520313881,0.9581769470977514,0.8604987181906513,0.9995318516437859,85282.0,13.0,27.0,121.0,ok,real_repeated_split,2
Credit Card Fraud Detection,RF (balanced_subsample),0.5,0.9053526473304889,0.9302325581395349,0.8108108108108109,0.8664259927797834,0.9004028305018877,0.8682617043223673,0.9547032714759428,0.8480829978377982,0.9995669627705019,85286.0,9.0,28.0,120.0,ok,real_repeated_split,2
