dataset,scenario,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
Abalone19,real_repeated_split,Class weight LogisticRegression,0.7863793562117585,0.025267077689598932,0.7435371413247519,0.04005782395325897,0.025778621125869705,0.002235424052477278,0.7000000000000001,0.10000000000000002,0.04970972423802613,0.0042889410321588425,0.740446644093768,0.043637240973640114,0.10517361518436513,0.01464167105241646,0.8256368999731832,0.042363623907029135,0.036356556571641246,0.010813507990971492,978.3333333333334,32.47049943153528,264.6666666666667,32.47049943153529,3.0,1.0,7.0,1.0,3,0,0,0,3
Abalone19,real_repeated_split,Custom weighted log-loss LR,0.9901569566374037,0.0012190943588603156,0.4990614105658353,0.0006144510183636098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037323815281571885,0.0012767768786421984,0.8075087154733173,0.02442602064248134,0.03990566737449159,0.017012383345214353,1240.6666666666667,1.5275252316519219,2.3333333333333335,1.5275252316519468,10.0,0.0,0.0,0.0,3,0,0,0,3
Abalone19,real_repeated_split,EasyEnsemble,0.6698590050545358,0.03790971842368947,0.7344060069723786,0.08492475228151838,0.018945254703602667,0.0032537184528403282,0.7999999999999999,0.20000000000000007,0.03700575886368236,0.006394484818154538,0.7259333831614398,0.07582816257858639,0.08825082323493476,0.03028903860176302,0.7833199249128452,0.07715897559915752,0.03523235148413117,0.012269552292898936,831.3333333333334,49.09514572066504,411.6666666666667,49.095145720665016,2.0,2.0,8.0,2.0,3,0,0,0,3
Abalone19,real_repeated_split,RF (balanced_subsample),0.9920191540303273,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6548002145347278,0.013919122372570777,0.018988947832968756,0.0035658320573317163,1243.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3,0,0,0,3
Abalone19,real_repeated_split,RUSBoost,0.737829209896249,0.1913082193313963,0.5454746580852775,0.0789308655588362,0.009311258278145695,0.0038024550087647456,0.35,0.35355339059327373,0.01797588600657654,0.007853871446134834,0.4489099223691394,0.21549207595183617,0.015578352892087984,0.03002270961695629,0.5883547868061143,0.018289205965524948,0.009956428880016844,0.0006164691379720641,921.0,243.24473272817235,322.0,243.24473272817235,6.5,3.5355339059327378,3.5,3.5355339059327378,2,1,0,0,3
Abalone19,real_repeated_split,Random Oversampling + RF,0.9917531258313382,0.00046077435689516436,0.49986591579511935,0.00023224065534578305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008449694680403986,0.001463530049490417,0.6075087154733173,0.09705955775429122,0.04485445579016222,0.025675166630405116,1242.6666666666667,0.5773502691896093,0.3333333333333333,0.5773502691896258,10.0,0.0,0.0,0.0,3,0,0,0,3
Abalone19,real_repeated_split,Random Undersampling + RF,0.7124235168927906,0.035533441409611934,0.607066237597211,0.06097852894270247,0.014138264509942058,0.004195512140967313,0.5,0.09999999999999998,0.027491152900008104,0.008072677225964177,0.5958873891558393,0.06918686529437217,0.04266952608725575,0.025729192618588134,0.7088763743631001,0.05318114765514919,0.019717366796634765,0.004042213102250849,887.6666666666666,44.003787715756154,355.3333333333333,44.003787715756175,5.0,1.0,5.0,1.0,3,0,0,0,3
Abalone19,real_repeated_split,SMOTE + RF,0.9869646182495345,0.0018430974275806334,0.4974524001072673,0.0009289626213831442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006327915465618461,0.0011268922195431035,0.7378921962992759,0.08770416067678483,0.028825956105133402,0.01256573966306513,1236.6666666666667,2.3094010767584865,6.333333333333333,2.309401076758503,10.0,0.0,0.0,0.0,3,0,0,0,3
Abalone19,real_repeated_split,SMOTE-ENN + RF,0.976855546687949,0.004854559082440761,0.5254223652453741,0.031074450577147007,0.03812636165577342,0.03305880371567215,0.06666666666666667,0.05773502691896258,0.048500881834215165,0.0420238185447755,0.20941459385851222,0.18135836950715287,0.03950206286121443,0.045533764614518545,0.7291499061410566,0.021467681001708584,0.027164819105635767,0.013588660747556592,1223.3333333333333,5.507570547286115,19.666666666666668,5.507570547286102,9.333333333333334,0.5773502691896258,0.6666666666666666,0.5773502691896258,3,0,0,0,3
Abalone19,real_repeated_split,SMOTE-Tomek + RF,0.985634477254589,0.002111533368766651,0.49678197908286403,0.00106426038256822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007128550626215687,0.0011640124351205224,0.7620139447573075,0.07137961407013145,0.02830372622661273,0.008391557633019596,1235.0,2.6457513110645907,8.0,2.6457513110645907,10.0,0.0,0.0,0.0,3,0,0,0,3
