source,method,f1_mean,f1_std,pr_auc_mean,pr_auc_std,recall_mean,precision_mean,mcc_mean,g_mean_mean,rank_f1,rank_pr_auc
synthetic_ir,EasyEnsemble,0.0677973675840263,0.0153858715139184,0.2026909971433908,0.1025502647300104,0.7944444444444444,0.0354516864179434,0.136547243478745,0.7847457821023403,12.0,13.0
synthetic_ir,RF (balanced_subsample),0.073139974779319,0.0698936013142548,0.528826134435532,0.0722329062965206,0.0388888888888888,1.0,0.1814332552585309,0.1822913414473246,11.0,1.0
synthetic_ir,RUSBoost,0.0363711191950537,0.0034292804022481,0.0184973587715799,0.0037396450609602,0.6416666666666667,0.0187750498479386,0.0634485177591872,0.6348237220206958,14.0,15.0
synthetic_ir,Random Oversampling + RF,0.1246947496947497,0.029305221663776,0.4975124527063739,0.0795926890074147,0.0666666666666666,1.0,0.2556385241089564,0.2568269406973176,9.0,5.0
synthetic_ir,Random Undersampling + RF,0.0953755546662713,0.0115324884533387,0.3186770288750979,0.0771239023604797,0.8277777777777778,0.0506494059763316,0.1803261008900472,0.8349972985072878,10.0,11.0
synthetic_ir,SMOTE + RF,0.4133520865632042,0.066871027286531,0.5104184995825295,0.0640036737891473,0.3,0.7354679802955665,0.4575037216143534,0.5437252878056495,2.5,2.5
synthetic_ir,SMOTE-ENN + RF,0.4462550503253555,0.0189135988254928,0.4952112941723908,0.0437463016312014,0.3277777777777778,0.7388344226579521,0.483738758409945,0.5713143852189347,1.0,7.0
synthetic_ir,SMOTE-Tomek + RF,0.4133520865632042,0.066871027286531,0.5104184995825295,0.0640036737891473,0.3,0.7354679802955665,0.4575037216143534,0.5437252878056495,2.5,2.5
synthetic_ir,ADASYN + RF,0.7382864174793434,0.0810730480615299,0.8210579914267395,0.0688274856428373,0.7088888888888888,0.7724861106258955,0.7143681053909406,0.832524118109596,3.0,6.0
synthetic_ir,Balanced Bagging,0.622977290986157,0.064233850720442,0.7384992315578908,0.0813028845393099,0.791111111111111,0.5148530425978056,0.5934053478106577,0.8549537218904454,7.0,11.0
synthetic_ir,Balanced Random Forest,0.7193559197779756,0.0741823014449989,0.8155140920539594,0.0711228060191798,0.7777777777777778,0.672874404292844,0.6921148655012425,0.8642051192720569,6.0,8.0
synthetic_ir,Baseline RF,0.52997888131743,0.0860010993232761,0.8336766958098573,0.048802293341173,0.3644444444444444,0.993939393939394,0.581110297819969,0.6011812784404329,10.0,5.0
synthetic_ir,Borderline-SMOTE + RF,0.7332585489786302,0.0747552975817652,0.8164596675575231,0.0724139223143254,0.6733333333333333,0.8082734157798869,0.7135799410424025,0.8129388810685475,4.0,7.0
synthetic_ir,Class weight LogisticRegression,0.3565262229425319,0.0604602485477234,0.4358297262625141,0.1174021891735577,0.7288888888888888,0.2366611981363794,0.3136213101998013,0.7437292025658477,13.0,14.0
synthetic_ir,Custom weighted log-loss LR,0.4654625770704085,0.0678896955571699,0.4831999481716798,0.0999182688999344,0.5822222222222222,0.3910162788813907,0.4128210235695556,0.724054936017534,11.0,13.0
