dataset,scenario,experiment,ir,seed,sampling_strategy,train_minority_majority_ratio_before,train_ir_actual,k_neighbors,method,status,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,g_mean,mcc,tn,fp,fn,tp,roc_auc,pr_auc
synthetic,IR=10:1,adaptive_sampling_strategy,10,2,1.0,0.1,10.0,5,SMOTE + RF,ok,0.5,0.9660606060606061,0.8763333333333334,0.8455882352941176,0.7666666666666667,0.8041958041958042,0.986,0.8694442669506386,0.7867949253555429,1479.0,21.0,35.0,115.0,0.9743577777777778,0.8772005677592317
synthetic,IR=50:1,adaptive_sampling_strategy,50,0,0.05,0.02,50.0,5,SMOTE + RF,ok,0.5,0.9823529411764705,0.55,1.0,0.1,0.18181818181818182,1.0,0.31622776601683794,0.31341957040361135,4500.0,0.0,81.0,9.0,0.9527024691358026,0.6159089963439763
synthetic,IR=50:1,adaptive_sampling_strategy,50,0,0.1,0.02,50.0,5,SMOTE + RF,ok,0.5,0.984313725490196,0.6,1.0,0.2,0.3333333333333333,1.0,0.4472135954999579,0.4436782547080569,4500.0,0.0,72.0,18.0,0.971488888888889,0.6785537096490695
synthetic,IR=50:1,adaptive_sampling_strategy,50,0,0.2,0.02,50.0,5,SMOTE + RF,ok,0.5,0.9860566448801743,0.6444444444444444,1.0,0.28888888888888886,0.4482758620689655,1.0,0.5374838498865699,0.5337020344021354,4500.0,0.0,64.0,26.0,0.9704160493827161,0.659712647713881
synthetic,IR=50:1,adaptive_sampling_strategy,50,0,0.5,0.02,50.0,5,SMOTE + RF,ok,0.5,0.9860566448801743,0.6662222222222222,0.8823529411764706,0.3333333333333333,0.4838709677419355,0.9991111111111111,0.5770936120223797,0.5375455551677429,4496.0,4.0,60.0,30.0,0.9661901234567901,0.6024833675654047
synthetic,IR=50:1,adaptive_sampling_strategy,50,0,1.0,0.02,50.0,5,SMOTE + RF,ok,0.5,0.9854030501089325,0.6822222222222222,0.7674418604651163,0.36666666666666664,0.49624060150375937,0.9977777777777778,0.6048568854298113,0.5245201068257462,4490.0,10.0,57.0,33.0,0.9679148148148149,0.5833317248209967
synthetic,IR=50:1,adaptive_sampling_strategy,50,1,0.05,0.02,50.0,5,SMOTE + RF,ok,0.5,0.9845315904139433,0.6055555555555555,1.0,0.2111111111111111,0.3486238532110092,1.0,0.45946829173634074,0.45588593337426336,4500.0,0.0,71.0,19.0,0.9869666666666667,0.8127494634272008
synthetic,IR=50:1,adaptive_sampling_strategy,50,1,0.1,0.02,50.0,5,SMOTE + RF,ok,0.5,0.9869281045751634,0.6829999999999999,0.9166666666666666,0.36666666666666664,0.5238095238095238,0.9993333333333333,0.6053281938107808,0.5752555713176672,4497.0,3.0,57.0,33.0,0.9877777777777779,0.7893915304738935
synthetic,IR=50:1,adaptive_sampling_strategy,50,1,0.2,0.02,50.0,5,SMOTE + RF,ok,0.5,0.9851851851851852,0.6657777777777778,0.7894736842105263,0.3333333333333333,0.46875,0.9982222222222222,0.5768368406583795,0.5073304108541581,4492.0,8.0,60.0,30.0,0.989758024691358,0.7064851777671664
synthetic,IR=50:1,adaptive_sampling_strategy,50,1,0.5,0.02,50.0,5,SMOTE + RF,ok,0.5,0.984967320261438,0.7364444444444445,0.6615384615384615,0.4777777777777778,0.5548387096774193,0.9951111111111111,0.6895230056413215,0.5549075724295457,4478.0,22.0,47.0,43.0,0.9865987654320988,0.6491846269233434
synthetic,IR=50:1,adaptive_sampling_strategy,50,1,1.0,0.02,50.0,5,SMOTE + RF,ok,0.5,0.9816993464052287,0.7402222222222222,0.5365853658536586,0.4888888888888889,0.5116279069767442,0.9915555555555555,0.6962474372140701,0.5028886195406634,4462.0,38.0,46.0,44.0,0.9816543209876543,0.5594366501974092
synthetic,IR=50:1,adaptive_sampling_strategy,50,2,0.05,0.02,50.0,5,SMOTE + RF,ok,0.5,0.9847494553376906,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365,1.0,0.4714045207910317,0.46778026972498793,4500.0,0.0,70.0,20.0,0.9842234567901234,0.797127283628177
synthetic,IR=50:1,adaptive_sampling_strategy,50,2,0.1,0.02,50.0,5,SMOTE + RF,ok,0.5,0.9867102396514161,0.6611111111111111,1.0,0.32222222222222224,0.48739495798319327,1.0,0.5676462121975467,0.563837510666463,4500.0,0.0,61.0,29.0,0.9905851851851852,0.8232583739093299
